economy,YR2015,YR2016,YR2017,YR2018
AUT,5.3,5.2,5.1,4.8
BEL,5.0,5.0,5.6,5.4
CYP,12.5,12.2,12.4,11.9
DEU,6.9,6.7,6.8,6.5
ESP,4.4,4.3,4.1,4.0
EST,1.3,1.2,1.2,1.1
FIN,0.9,0.9,0.8,0.8
FRA,0.8,0.7,0.7,0.7
GRC,2.3,2.3,1.6,1.6
IRL,0.2,0.2,0.2,0.1
ITA,14.4,14.3,14.1,14.1
LTU,0.6,0.6,0.6,0.5
LUX,2.0,1.7,1.7,1.7
LVA,1.8,1.7,1.7,1.7
MLT,14.1,12.3,7.4,7.1
NLD,4.6,4.5,4.4,4.2
PRT,2.2,2.1,2.1,2.0
SVK,1.5,1.1,1.1,1.0
SVN,0.0,0.0,0.0,0.0
