economy,YR2015,YR2016,YR2017,YR2018
AUT,22.0,21.0,21.0,21.0
BEL,4.5,4.5,4.5,4.5
CYP,8.0,6.0,6.0,6.0
DEU,10.5,8.0,8.0,8.0
ESP,14.0,13.0,13.0,12.5
EST,3.5,3.5,3.5,3.5
FIN,17.0,17.0,17.0,17.0
FRA,4.0,3.5,3.5,3.5
GRC,13.0,13.0,12.5,12.5
IRL,12.0,11.0,11.0,11.0
ITA,11.0,11.0,11.0,11.0
LTU,5.5,5.5,5.5,5.5
LUX,16.5,16.5,16.5,16.5
LVA,5.5,5.5,5.5,5.5
MLT,28.0,26.0,16.0,16.0
NLD,3.5,3.5,3.5,3.5
PRT,6.0,6.0,6.5,6.5
SVK,26.5,26.5,26.5,26.5
SVN,6.0,6.0,6.0,8.0
